Resource;Method;URI;Description
Courses;POST;/api/v2/schools/{school_id}/courses;Create course
Departments;POST;/api/v2/schools/{school_id}/departments;Create department
Assignment labels;POST;/api/v2/schools/{school_id}/labels;Create assignment label
Locations;POST;/api/v2/schools/{school_id}/locations;Create location
Periods;POST;/api/v2/schools/{school_id}/periods;Create period
Users;POST;/api/v2/schools/{school_id}/users;Create user
Covers;GET;/api/v2/assignments/{assignment_id}/cover;Show cover
Exercises;GET;/api/v2/assignments/{assignment_id}/exercises;List exercises
Publications;GET;/api/v2/assignments/{assignment_id}/publication;Show publication
Publication timeslots;GET;/api/v2/assignments/{assignment_id}/publication_timeslots;List publication timeslots
Requirements;GET;/api/v2/assignments/{assignment_id}/requirements;List requirements
Results;GET;/api/v2/assignments/{assignment_id}/results;List results
Score marks;GET;/api/v2/assignments/{assignment_id}/score_marks;List score marks
Tasks;GET;/api/v2/assignments/{assignment_id}/tasks;List assignment tasks
Timeslots;GET;/api/v2/assignments/{assignment_id}/timeslots;List timeslots
Assignments;GET;/api/v2/courses/{course_id}/assignments;List assignments
Courses users;GET;/api/v2/courses/{course_id}/courses_users;List course users
Domains;GET;/api/v2/courses/{course_id}/domains;List course domains
Groups;GET;/api/v2/courses/{course_id}/groups;List groups
Studies;GET;/api/v2/departments/{department_id}/studies;List studies
Objectives;GET;/api/v2/domains/{domain_id}/objectives;List objectives
Questions;GET;/api/v2/exercises/{exercise_id}/questions;List questions
Groups users;GET;/api/v2/groups/{group_id}/groups_users;List users in group
Subscriptions;GET;/api/v2/plans/{plan_id}/subscriptions;List subscriptions
Plans;GET;/api/v2/publishers/{publisher_id}/plans;List plans
Covers;GET;/api/v2/question_bank_assignments/{question_bank_assignment_id}/cover;Show cover
Question bank assignments;GET;/api/v2/question_bank_assignments/{question_bank_assignment_id}/question_bank_assignment_results;List question bank assignment results
Score marks;GET;/api/v2/question_bank_assignments/{question_bank_assignment_id}/score_marks;List question bank assignment score marks
Blueprints;GET;/api/v2/question_banks/{question_bank_id}/blueprints;List blueprints
Domains;GET;/api/v2/question_banks/{question_bank_id}/domains;List question bank domains
Question bank assignments;GET;/api/v2/question_banks/{question_bank_id}/question_bank_assignments;List question bank assignments
Question bank exercises;GET;/api/v2/question_banks/{question_bank_id}/question_bank_exercises;List question bank exercises
Question bank exercises;GET;/api/v2/question_banks/{question_bank_id}/question_bank_exercises/import;Import question bank exercises
Question bank labels;GET;/api/v2/question_banks/{question_bank_id}/question_bank_labels;List question bank labels
Tasks;GET;/api/v2/question_banks/{question_bank_id}/tasks;List question bank tasks
Courses users;GET;/api/v2/users/{user_id}/courses_users;List user courses
Groups users;GET;/api/v2/users/{user_id}/groups_users;List groups of user
Classes;GET;/api/v2/schools/{school_id}/classes;List Classes
Courses;GET;/api/v2/schools/{school_id}/courses;List courses
Departments;GET;/api/v2/schools/{school_id}/departments;List departments
Assignment labels;GET;/api/v2/schools/{school_id}/labels;List assignment labels
Locations;GET;/api/v2/schools/{school_id}/locations;List locations
Periods;GET;/api/v2/schools/{school_id}/periods;List periods
Roles;GET;/api/v2/schools/{school_id}/roles;List roles
Users;GET;/api/v2/schools/{school_id}/users;List users
Assignments;DELETE;/api/v2/assignments/{id};Delete assignment
Classes;DELETE;/api/v2/classes/{id};Delete class
Comments;DELETE;/api/v2/comments/{id};Destroy comment
Courses;DELETE;/api/v2/courses/{id};Delete course
Courses users;DELETE;/api/v2/courses_users/{id};Delete courses user
Departments;DELETE;/api/v2/departments/{id};Delete department
Domains;DELETE;/api/v2/domains/{id};Delete domain
Exercises;DELETE;/api/v2/exercises/{id};Delete exercise
Groups;DELETE;/api/v2/groups/{id};Delete group
Groups users;DELETE;/api/v2/groups_users/{id};Remove user from group
Assignment labels;DELETE;/api/v2/labels/{id};Delete assignment label
Locations;DELETE;/api/v2/locations/{id};Delete location
Objectives;DELETE;/api/v2/objectives/{id};Delete objective
Periods;DELETE;/api/v2/periods/{id};Delete period
Plans;DELETE;/api/v2/plans/{id};Delete plan
Publication timeslots;DELETE;/api/v2/publication_timeslots/{id};Delete publication timeslot
Question bank assignments;DELETE;/api/v2/question_bank_assignments/{id};Delete question bank assignment
Question bank exercises;DELETE;/api/v2/question_bank_exercises/{id};Delete question bank exercise
Question bank labels;DELETE;/api/v2/question_bank_labels/{id};Delete question bank label
Question banks;DELETE;/api/v2/question_banks/{id};Delete question bank
Questions;DELETE;/api/v2/questions/{id};Delete question
Requirements;DELETE;/api/v2/requirements/{id}/;Delete requirement
Score marks;DELETE;/api/v2/score_marks/{id};Delete score mark
Studies;DELETE;/api/v2/studies/{id};Delete study
Subscriptions;DELETE;/api/v2/subscriptions/{id};Delete subscription
Tasks;DELETE;/api/v2/tasks/{id};Delete task
Timeslots;DELETE;/api/v2/timeslots/{id};Delete timeslot
Users;DELETE;/api/v2/users/{id};Delete user
Webhooks;DELETE;/api/v2/webhooks/{id};Delete webhook
Covers;PATCH;/api/v2/assignments/{assignment_id}/cover;Update cover
Publications;PATCH;/api/v2/assignments/{assignment_id}/publication;Update publication
Covers;PATCH;/api/v2/question_bank_assignments/{question_bank_assignment_id}/cover;Update cover
